year,cpi
1979,326.08
1980,287.30
1981,260.44
1982,245.32
1983,237.69
1984,227.85
1985,220.01
1986,216.00
1987,208.39
1988,200.11
1989,190.92
1990,181.13
1991,173.81
1992,168.74
1993,163.83
1994,159.74
1995,155.34
1996,150.88
1997,147.50
1998,145.24
1999,142.10
2000,137.48
2001,133.75
2002,131.59
2003,128.66
2004,125.32
2005,121.22
2006,117.43
2007,114.18
2008,109.95
2009,110.35
2010,108.57
2011,105.24
2012,103.11
2013,101.62
2014,100.00
